Person{height=208, weight=50, age=49}
Person{height=189, weight=60, age=49}
Person{height=176, weight=60, age=88}
Person{height=170, weight=60, age=61}
Person{height=163, weight=61, age=52}
Person{height=207, weight=61, age=61}
Person{height=206, weight=61, age=51}
Person{height=175, weight=61, age=58}
Person{height=188, weight=61, age=77}
Person{height=181, weight=61, age=24}
Person{height=180, weight=62, age=21}
Person{height=166, weight=62, age=18}
Person{height=185, weight=62, age=75}
Person{height=168, weight=62, age=71}
Person{height=190, weight=62, age=48}
Person{height=200, weight=63, age=24}
Person{height=211, weight=63, age=41}
Person{height=192, weight=63, age=55}
Person{height=196, weight=63, age=67}
Person{height=161, weight=63, age=97}
Person{height=168, weight=64, age=81}
Person{height=203, weight=64, age=80}
Person{height=180, weight=64, age=18}
Person{height=160, weight=64, age=45}
Person{height=211, weight=64, age=61}
Person{height=163, weight=64, age=46}
Person{height=193, weight=64, age=24}
Person{height=167, weight=64, age=35}
Person{height=213, weight=65, age=49}
Person{height=197, weight=65, age=67}
Person{height=165, weight=65, age=32}
Person{height=170, weight=66, age=46}
Person{height=182, weight=66, age=21}
Person{height=168, weight=66, age=25}
Person{height=175, weight=66, age=72}
Person{height=216, weight=67, age=81}
Person{height=209, weight=67, age=96}
Person{height=216, weight=67, age=87}
Person{height=192, weight=67, age=88}
Person{height=165, weight=67, age=62}
Person{height=171, weight=67, age=66}
Person{height=203, weight=67, age=30}
Person{height=177, weight=68, age=23}
Person{height=160, weight=68, age=33}
Person{height=171, weight=68, age=44}
Person{height=198, weight=69, age=29}
Person{height=170, weight=69, age=30}
Person{height=192, weight=69, age=40}
Person{height=193, weight=69, age=89}
Person{height=206, weight=69, age=31}
Person{height=205, weight=69, age=93}
Person{height=177, weight=70, age=54}
Person{height=208, weight=70, age=25}
Person{height=218, weight=70, age=32}
Person{height=174, weight=70, age=60}
Person{height=160, weight=70, age=86}
Person{height=180, weight=70, age=37}
Person{height=217, weight=70, age=78}
Person{height=183, weight=70, age=44}
Person{height=196, weight=70, age=31}
Person{height=204, weight=70, age=86}
Person{height=177, weight=71, age=73}
Person{height=173, weight=71, age=49}
Person{height=198, weight=71, age=47}
Person{height=210, weight=71, age=60}
Person{height=175, weight=71, age=97}
Person{height=193, weight=71, age=77}
Person{height=161, weight=72, age=76}
Person{height=190, weight=72, age=90}
Person{height=215, weight=72, age=35}
Person{height=188, weight=72, age=78}
Person{height=179, weight=72, age=42}
Person{height=170, weight=72, age=35}
Person{height=172, weight=73, age=60}
Person{height=163, weight=73, age=93}
Person{height=163, weight=73, age=67}
Person{height=196, weight=73, age=67}
Person{height=160, weight=73, age=93}
Person{height=180, weight=73, age=95}
Person{height=214, weight=74, age=39}
Person{height=209, weight=74, age=61}
Person{height=197, weight=74, age=64}
Person{height=207, weight=74, age=91}
Person{height=209, weight=74, age=76}
Person{height=173, weight=74, age=90}
Person{height=209, weight=74, age=70}
Person{height=176, weight=74, age=99}
Person{height=214, weight=74, age=52}
Person{height=163, weight=75, age=83}
Person{height=204, weight=75, age=49}
Person{height=181, weight=75, age=85}
Person{height=188, weight=75, age=39}
Person{height=161, weight=75, age=43}
Person{height=193, weight=75, age=76}
Person{height=171, weight=75, age=78}
Person{height=202, weight=76, age=83}
Person{height=181, weight=76, age=57}
Person{height=210, weight=76, age=97}
Person{height=207, weight=76, age=92}
Person{height=164, weight=76, age=19}
Person{height=207, weight=76, age=96}
Person{height=192, weight=76, age=61}
Person{height=167, weight=76, age=43}
Person{height=176, weight=76, age=31}
Person{height=196, weight=77, age=98}
Person{height=172, weight=77, age=81}
Person{height=187, weight=77, age=89}
Person{height=163, weight=77, age=90}
Person{height=195, weight=78, age=43}
Person{height=176, weight=78, age=91}
Person{height=195, weight=78, age=27}
Person{height=163, weight=78, age=31}
Person{height=207, weight=78, age=25}
Person{height=204, weight=78, age=21}
Person{height=187, weight=78, age=87}
Person{height=166, weight=78, age=80}
Person{height=196, weight=78, age=36}
Person{height=167, weight=79, age=64}
Person{height=214, weight=79, age=94}
Person{height=177, weight=79, age=43}
Person{height=171, weight=79, age=68}
Person{height=169, weight=79, age=61}
Person{height=186, weight=80, age=56}
Person{height=215, weight=80, age=65}
Person{height=202, weight=81, age=87}
Person{height=191, weight=81, age=82}
Person{height=181, weight=81, age=34}
Person{height=182, weight=81, age=91}
Person{height=173, weight=81, age=47}
Person{height=166, weight=81, age=48}
Person{height=219, weight=81, age=32}
Person{height=208, weight=82, age=53}
Person{height=212, weight=82, age=88}
Person{height=195, weight=82, age=68}
Person{height=212, weight=82, age=74}
Person{height=172, weight=82, age=19}
Person{height=205, weight=82, age=75}
Person{height=192, weight=83, age=88}
Person{height=186, weight=83, age=58}
Person{height=200, weight=83, age=24}
Person{height=209, weight=83, age=50}
Person{height=168, weight=83, age=39}
Person{height=179, weight=83, age=67}
Person{height=214, weight=84, age=34}
Person{height=219, weight=84, age=74}
Person{height=172, weight=84, age=86}
Person{height=167, weight=84, age=94}
Person{height=162, weight=84, age=83}
Person{height=185, weight=84, age=44}
Person{height=189, weight=84, age=32}
Person{height=189, weight=84, age=72}
Person{height=166, weight=84, age=37}
Person{height=176, weight=84, age=57}
Person{height=167, weight=84, age=63}
Person{height=204, weight=85, age=51}
Person{height=197, weight=85, age=80}
Person{height=216, weight=85, age=58}
Person{height=216, weight=85, age=87}
Person{height=163, weight=85, age=45}
Person{height=171, weight=85, age=30}
Person{height=172, weight=86, age=60}
Person{height=178, weight=86, age=31}
Person{height=206, weight=86, age=56}
Person{height=175, weight=86, age=40}
Person{height=200, weight=86, age=93}
Person{height=175, weight=86, age=67}
Person{height=204, weight=86, age=82}
Person{height=212, weight=86, age=75}
Person{height=169, weight=87, age=67}
Person{height=191, weight=87, age=54}
Person{height=170, weight=87, age=40}
Person{height=218, weight=87, age=81}
Person{height=190, weight=87, age=72}
Person{height=165, weight=87, age=83}
Person{height=212, weight=87, age=85}
Person{height=204, weight=87, age=69}
Person{height=169, weight=87, age=59}
Person{height=219, weight=87, age=21}
Person{height=168, weight=87, age=69}
Person{height=162, weight=87, age=91}
Person{height=164, weight=87, age=30}
Person{height=171, weight=88, age=44}
Person{height=192, weight=88, age=47}
Person{height=216, weight=88, age=53}
Person{height=166, weight=88, age=21}
Person{height=178, weight=88, age=38}
Person{height=170, weight=89, age=38}
Person{height=210, weight=89, age=86}
Person{height=210, weight=89, age=40}
Person{height=204, weight=89, age=45}
Person{height=203, weight=89, age=90}
Person{height=165, weight=90, age=37}
Person{height=200, weight=90, age=35}
Person{height=175, weight=90, age=73}
Person{height=208, weight=90, age=80}
Person{height=172, weight=90, age=46}
Person{height=196, weight=90, age=67}
Person{height=210, weight=90, age=18}
Person{height=186, weight=90, age=50}
Person{height=196, weight=90, age=18}
Person{height=212, weight=90, age=30}
Person{height=189, weight=91, age=35}
Person{height=192, weight=91, age=63}
Person{height=205, weight=91, age=49}
Person{height=197, weight=91, age=99}
Person{height=170, weight=91, age=73}
Person{height=219, weight=92, age=28}
Person{height=212, weight=92, age=44}
Person{height=166, weight=92, age=56}
Person{height=180, weight=92, age=49}
Person{height=218, weight=92, age=49}
Person{height=214, weight=92, age=68}
Person{height=172, weight=92, age=82}
Person{height=181, weight=93, age=57}
Person{height=204, weight=93, age=83}
Person{height=200, weight=93, age=20}
Person{height=170, weight=93, age=19}
Person{height=195, weight=93, age=35}
Person{height=187, weight=93, age=45}
Person{height=211, weight=93, age=28}
Person{height=201, weight=94, age=77}
Person{height=202, weight=94, age=45}
Person{height=172, weight=94, age=26}
Person{height=211, weight=94, age=87}
Person{height=168, weight=94, age=78}
Person{height=164, weight=94, age=21}
Person{height=217, weight=94, age=95}
Person{height=187, weight=94, age=99}
Person{height=212, weight=94, age=46}
Person{height=162, weight=95, age=55}
Person{height=182, weight=95, age=36}
Person{height=179, weight=95, age=77}
Person{height=199, weight=95, age=43}
Person{height=171, weight=95, age=26}
Person{height=212, weight=95, age=90}
Person{height=205, weight=95, age=70}
Person{height=163, weight=95, age=91}
Person{height=181, weight=95, age=85}
Person{height=192, weight=96, age=54}
Person{height=211, weight=96, age=23}
Person{height=184, weight=96, age=18}
Person{height=191, weight=96, age=52}
Person{height=164, weight=96, age=63}
Person{height=167, weight=96, age=57}
Person{height=218, weight=96, age=86}
Person{height=194, weight=96, age=54}
Person{height=216, weight=96, age=77}
Person{height=194, weight=97, age=32}
Person{height=210, weight=97, age=27}
Person{height=184, weight=97, age=53}
Person{height=169, weight=97, age=56}
Person{height=170, weight=97, age=83}
Person{height=205, weight=98, age=53}
Person{height=167, weight=98, age=72}
Person{height=207, weight=98, age=67}
Person{height=174, weight=98, age=77}
Person{height=205, weight=98, age=85}
Person{height=160, weight=98, age=66}
Person{height=160, weight=98, age=18}
Person{height=163, weight=99, age=42}
Person{height=191, weight=99, age=66}
Person{height=215, weight=99, age=32}
Person{height=209, weight=99, age=86}
Person{height=170, weight=99, age=39}
Person{height=200, weight=99, age=49}
Person{height=188, weight=100, age=33}
Person{height=206, weight=100, age=89}
Person{height=170, weight=100, age=89}
Person{height=187, weight=100, age=18}
Person{height=188, weight=100, age=73}
Person{height=186, weight=101, age=67}
Person{height=213, weight=101, age=81}
Person{height=165, weight=101, age=59}
Person{height=181, weight=101, age=92}
Person{height=208, weight=101, age=80}
Person{height=187, weight=101, age=71}
Person{height=162, weight=102, age=56}
Person{height=219, weight=102, age=96}
Person{height=217, weight=102, age=30}
Person{height=168, weight=102, age=75}
Person{height=212, weight=103, age=96}
Person{height=211, weight=103, age=83}
Person{height=170, weight=103, age=52}
Person{height=216, weight=103, age=35}
Person{height=213, weight=103, age=25}
Person{height=195, weight=103, age=72}
Person{height=210, weight=104, age=82}
Person{height=165, weight=104, age=57}
Person{height=189, weight=104, age=25}
Person{height=218, weight=104, age=51}
Person{height=195, weight=104, age=21}
Person{height=210, weight=104, age=54}
Person{height=206, weight=104, age=87}
Person{height=183, weight=104, age=95}
Person{height=191, weight=104, age=76}
Person{height=204, weight=105, age=81}
Person{height=185, weight=105, age=60}
Person{height=164, weight=105, age=71}
Person{height=209, weight=105, age=58}
Person{height=176, weight=105, age=76}
Person{height=166, weight=106, age=57}
Person{height=176, weight=106, age=83}
Person{height=177, weight=106, age=63}
Person{height=201, weight=106, age=45}
Person{height=204, weight=106, age=25}
Person{height=165, weight=106, age=60}
Person{height=217, weight=106, age=57}
Person{height=207, weight=107, age=28}
Person{height=187, weight=107, age=78}
Person{height=188, weight=107, age=48}
Person{height=198, weight=107, age=35}
Person{height=181, weight=107, age=63}
Person{height=163, weight=108, age=81}
Person{height=184, weight=108, age=92}
Person{height=183, weight=108, age=96}
Person{height=165, weight=108, age=35}
Person{height=166, weight=108, age=59}
Person{height=214, weight=109, age=84}
Person{height=217, weight=109, age=22}
Person{height=213, weight=109, age=70}
Person{height=202, weight=109, age=84}
Person{height=215, weight=109, age=67}
Person{height=217, weight=109, age=64}
Person{height=163, weight=109, age=50}
Person{height=208, weight=110, age=86}
Person{height=204, weight=110, age=95}
Person{height=174, weight=110, age=33}
Person{height=185, weight=110, age=45}
Person{height=201, weight=110, age=77}
Person{height=160, weight=110, age=50}
Person{height=203, weight=110, age=67}
Person{height=168, weight=111, age=56}
Person{height=204, weight=111, age=70}
Person{height=200, weight=111, age=60}
Person{height=161, weight=111, age=51}
Person{height=191, weight=111, age=31}
Person{height=217, weight=112, age=98}
Person{height=175, weight=112, age=54}
Person{height=174, weight=112, age=80}
Person{height=196, weight=112, age=55}
Person{height=218, weight=112, age=54}
Person{height=185, weight=112, age=26}
Person{height=183, weight=112, age=85}
Person{height=219, weight=112, age=73}
Person{height=195, weight=112, age=87}
Person{height=177, weight=112, age=83}
Person{height=188, weight=112, age=87}
Person{height=169, weight=112, age=31}
Person{height=212, weight=112, age=37}
Person{height=216, weight=112, age=29}
Person{height=166, weight=112, age=54}
Person{height=205, weight=112, age=54}
Person{height=166, weight=112, age=95}
Person{height=185, weight=113, age=81}
Person{height=197, weight=113, age=68}
Person{height=194, weight=113, age=65}
Person{height=175, weight=113, age=25}
Person{height=176, weight=113, age=97}
Person{height=216, weight=113, age=63}
Person{height=191, weight=113, age=79}
Person{height=172, weight=113, age=57}
Person{height=202, weight=114, age=67}
Person{height=219, weight=114, age=34}
Person{height=212, weight=114, age=90}
Person{height=165, weight=114, age=49}
Person{height=166, weight=114, age=76}
Person{height=167, weight=114, age=62}
Person{height=160, weight=114, age=71}
Person{height=209, weight=114, age=38}
Person{height=187, weight=114, age=75}
Person{height=193, weight=114, age=73}
Person{height=192, weight=115, age=73}
Person{height=178, weight=115, age=27}
Person{height=182, weight=115, age=20}
Person{height=173, weight=115, age=32}
Person{height=178, weight=115, age=84}
Person{height=180, weight=115, age=97}
Person{height=176, weight=116, age=93}
Person{height=213, weight=116, age=33}
Person{height=201, weight=116, age=81}
Person{height=202, weight=116, age=33}
Person{height=212, weight=116, age=49}
Person{height=176, weight=116, age=96}
Person{height=194, weight=116, age=99}
Person{height=199, weight=116, age=32}
Person{height=211, weight=116, age=48}
Person{height=180, weight=116, age=23}
Person{height=195, weight=117, age=21}
Person{height=185, weight=117, age=40}
Person{height=197, weight=117, age=77}
Person{height=181, weight=117, age=82}
Person{height=216, weight=117, age=73}
Person{height=191, weight=117, age=99}
Person{height=184, weight=117, age=27}
Person{height=196, weight=117, age=82}
Person{height=197, weight=118, age=80}
Person{height=184, weight=118, age=88}
Person{height=200, weight=118, age=62}
Person{height=203, weight=118, age=39}
Person{height=200, weight=118, age=39}
Person{height=186, weight=118, age=94}
Person{height=170, weight=118, age=36}
Person{height=200, weight=118, age=63}
Person{height=216, weight=118, age=96}
Person{height=165, weight=118, age=71}
Person{height=218, weight=118, age=88}
Person{height=219, weight=118, age=77}
Person{height=191, weight=118, age=60}
Person{height=191, weight=118, age=55}
Person{height=196, weight=119, age=23}
Person{height=190, weight=119, age=72}
Person{height=191, weight=119, age=86}
Person{height=177, weight=119, age=77}
Person{height=199, weight=119, age=97}
Person{height=212, weight=119, age=55}
Person{height=175, weight=119, age=92}
Person{height=180, weight=120, age=57}
Person{height=181, weight=120, age=91}
Person{height=179, weight=120, age=97}
Person{height=174, weight=121, age=54}
Person{height=218, weight=121, age=97}
Person{height=191, weight=121, age=41}
Person{height=208, weight=121, age=75}
Person{height=196, weight=121, age=27}
Person{height=192, weight=122, age=86}
Person{height=170, weight=122, age=77}
Person{height=195, weight=122, age=56}
Person{height=208, weight=122, age=86}
Person{height=194, weight=122, age=89}
Person{height=211, weight=122, age=39}
Person{height=164, weight=122, age=64}
Person{height=170, weight=122, age=54}
Person{height=170, weight=122, age=82}
Person{height=215, weight=122, age=54}
Person{height=188, weight=123, age=96}
Person{height=201, weight=123, age=58}
Person{height=208, weight=123, age=38}
Person{height=218, weight=123, age=43}
Person{height=190, weight=123, age=39}
Person{height=174, weight=123, age=35}
Person{height=202, weight=123, age=52}
Person{height=170, weight=124, age=58}
Person{height=215, weight=124, age=46}
Person{height=184, weight=124, age=73}
Person{height=217, weight=124, age=84}
Person{height=205, weight=124, age=75}
Person{height=172, weight=125, age=51}
Person{height=205, weight=125, age=67}
Person{height=189, weight=125, age=55}
Person{height=188, weight=125, age=49}
Person{height=168, weight=125, age=90}
Person{height=195, weight=125, age=64}
Person{height=167, weight=126, age=56}
Person{height=160, weight=126, age=69}
Person{height=169, weight=126, age=83}
Person{height=208, weight=126, age=43}
Person{height=185, weight=126, age=63}
Person{height=210, weight=126, age=35}
Person{height=201, weight=126, age=32}
Person{height=187, weight=126, age=59}
Person{height=178, weight=126, age=71}
Person{height=203, weight=126, age=99}
Person{height=162, weight=127, age=70}
Person{height=162, weight=127, age=39}
Person{height=175, weight=127, age=49}
Person{height=206, weight=127, age=18}
Person{height=209, weight=127, age=71}
Person{height=197, weight=127, age=94}
Person{height=218, weight=127, age=77}
Person{height=206, weight=127, age=30}
Person{height=185, weight=128, age=48}
Person{height=190, weight=128, age=58}
Person{height=175, weight=128, age=43}
Person{height=164, weight=128, age=36}
Person{height=192, weight=128, age=38}
Person{height=181, weight=128, age=49}
Person{height=181, weight=128, age=76}
Person{height=218, weight=128, age=51}
Person{height=192, weight=129, age=77}
Person{height=199, weight=129, age=95}
Person{height=171, weight=129, age=50}
Person{height=215, weight=129, age=59}
Person{height=196, weight=129, age=44}
Person{height=190, weight=129, age=76}
Person{height=208, weight=129, age=83}
Person{height=174, weight=129, age=60}
Person{height=168, weight=129, age=37}
Person{height=191, weight=130, age=87}
Person{height=212, weight=130, age=45}
Person{height=214, weight=130, age=45}
Person{height=188, weight=130, age=64}
Person{height=179, weight=130, age=84}
Person{height=165, weight=130, age=50}
Person{height=196, weight=130, age=69}
Person{height=178, weight=131, age=46}
Person{height=193, weight=131, age=76}
Person{height=199, weight=131, age=72}
Person{height=196, weight=131, age=69}
Person{height=163, weight=132, age=18}
Person{height=178, weight=132, age=35}
Person{height=205, weight=132, age=36}
Person{height=174, weight=132, age=57}
Person{height=200, weight=132, age=91}
Person{height=180, weight=132, age=58}
Person{height=173, weight=133, age=87}
Person{height=169, weight=133, age=26}
Person{height=200, weight=133, age=59}
Person{height=160, weight=133, age=24}
Person{height=190, weight=133, age=71}
Person{height=182, weight=133, age=30}
Person{height=207, weight=133, age=88}
Person{height=182, weight=133, age=53}
Person{height=172, weight=134, age=97}
Person{height=174, weight=134, age=95}
Person{height=195, weight=134, age=44}
Person{height=199, weight=134, age=77}
Person{height=185, weight=134, age=73}
Person{height=186, weight=134, age=50}
Person{height=207, weight=134, age=77}
Person{height=170, weight=135, age=62}
Person{height=163, weight=135, age=86}
Person{height=197, weight=135, age=52}
Person{height=209, weight=135, age=34}
Person{height=161, weight=135, age=49}
Person{height=199, weight=135, age=84}
Person{height=185, weight=136, age=86}
Person{height=207, weight=136, age=50}
Person{height=187, weight=136, age=19}
Person{height=197, weight=136, age=20}
Person{height=164, weight=136, age=51}
Person{height=174, weight=136, age=77}
Person{height=199, weight=136, age=79}
Person{height=210, weight=136, age=53}
Person{height=189, weight=137, age=53}
Person{height=172, weight=137, age=95}
Person{height=171, weight=137, age=53}
Person{height=180, weight=137, age=47}
Person{height=190, weight=137, age=54}
Person{height=193, weight=137, age=42}
Person{height=163, weight=137, age=82}
Person{height=200, weight=138, age=19}
Person{height=204, weight=138, age=52}
Person{height=185, weight=138, age=96}
Person{height=218, weight=138, age=99}
Person{height=186, weight=138, age=76}
Person{height=198, weight=138, age=52}
Person{height=169, weight=139, age=77}
Person{height=202, weight=139, age=64}
Person{height=185, weight=139, age=98}
Person{height=212, weight=139, age=54}
Person{height=179, weight=140, age=48}
Person{height=184, weight=140, a
